Periodo Hasta AA-Actual;C.Ofi;Oficina Venta;C.Prev;Preventa;Cod.Cliente;Nombre Comercial;Cod.Interno;Cod.Cad;Cadena;Agrupacion;Tipo Establecimiento;Fecha Alta;Ult.Comp.Helados;Cuo.Anual Helados;VtaBru.Cum Actual;VtaBru.Cum Anterior;Desviacion _;Desviacion %;VtaBru.Tot Anterior;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401180346;CAFETERIA HELADERIA COTO;30007;;;Bares y Cafeter¡as;BAR Y CAFETERIA;30/01/2006;09/05/2026;14254,55;1683,00;2417,72;-734,72;30,39;13934,07;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401180366;ZORAIDA PARK GRANELES;30020;000013242;HOTELES ZORAIDA S.A.;Hoteles y Hostales;HOTELES Y HOSTALES;24/03/2006;07/10/2025;14317,17;0,00;486,01;-486,01;100,00;13995,28;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401180369;RESTAURANTE ALPUJARRA;31975;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;30/03/2006;07/04/2026;2568,85;458,46;788,95;-330,49;41,89;2511,09;
05-2025 -> 05-2026;2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401180390;H.REST. BELLAVISTA;7924;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;13/12/2006;07/05/2026;10185,18;444,22;2209,06;-1764,84;79,89;9956,19;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401180400;TIENDA DE LAS CHUCHES;30041;000013225;LAS CHUCHES;Impulso Tradicional;TIENDAS DE CHUCHERIAS/FRUTOS S;21/03/2007;12/05/2026;9093,31;2070,84;2414,52;-343,68;14,23;8888,87;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401180420;HOTEL PLAYADULCE;30058;B6505;GRUPO HOTELES PLAYA, S.L.;Hoteles y Hostales;HOTELES Y HOSTALES;03/05/2007;13/05/2026;40812,17;8420,70;9164,71;-744,01;8,12;39894,59;
05-2025 -> 05-2026;2866;LORCA;93;MARI CARMEN PREVENTA;401180421;OASIS PARQUE TEMATICO;30059;B6505;GRUPO HOTELES PLAYA, S.L.;Ocio;PARQUE DE ATRACCIONES/PARQUES ;04/05/2007;07/05/2026;69134,88;20655,96;22931,41;-2275,45;9,92;67580,53;
05-2025 -> 05-2026;2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401180423;HOTEL PLAYA ZIMBALI;70061;B6505;GRUPO HOTELES PLAYA, S.L.;Hoteles y Hostales;HOTELES Y HOSTALES;07/05/2007;01/10/2025;50081,61;0,00;626,80;-626,80;100,00;48955,63;
05-2025 -> 05-2026;2866;LORCA;73;JOSE MIGUEL ANDUJAR;401180453;TIENDA MINIMERCADO;30079;;;Conveniencia;TIENDA DE ALIMENTACION ETNICA ;24/03/2008;12/09/2025;1987,41;0,00;813,05;-813,05;100,00;1942,73;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401180457;TIENDA LAS CHUCHES III;30081;000013225;LAS CHUCHES;Impulso Tradicional;TIENDAS DE CHUCHERIAS/FRUTOS S;23/04/2008;06/05/2026;16090,52;2762,52;3639,31;-876,79;24,09;15728,76;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401180505;CAFE BAR ALMAZARA;32232;;;Bares y Cafeter¡as;BAR Y CAFETERIA;06/07/2009;13/05/2026;5062,36;1264,63;1576,65;-312,02;19,79;4948,54;
05-2025 -> 05-2026;2866;LORCA;80;JUAN LUIS GALLEGO ;401180554;ACEBUCHE IMPULSO;30140;B6709;TRABAJO PENITENCIARIO Y FORMACION;Colectividades;CENTROS PENITENCIARIOS/EDUCATI;14/07/2010;11/09/2025;44093,48;0,00;1207,52;-1207,52;100,00;43102,13;
